id,text,nreposts,nlikes,nviews,tag
35564,"С 5 до 7 лет у ребёнка время игры. Если ребёнок в это время не играет, … он не будет учиться в Высшей Школе Экономики!",46,285,9235.0,Надеждина_ВШЭ
35495,"Вы знаете, зачем слону хвост?Чтобы слон не заканчивался внезапно.",105,320,8918.0,Маркин_ВШЭ
35448,Мы тут экономикой занимаемся!!! Деньги надо сжечь.,32,214,7553.0,Суздальцев_ВШЭ
35441,*отвечает на звонок*: Национализм никуда не делся....Алё?...,32,206,7412.0,Суздальцев_ВШЭ
35434,Настоящий мужчина ест в день один раз: с утра до вечера.,187,506,13960.0,Суздальцев_ВШЭ
35427,- Вы бабка на лавке или филолог?,61,264,11981.0,Банников_ВШЭ
35403,"Если вы пришли наблюдать за людьми, а они едят - тоже поешьте. Очень неловко, когда люди едят, а социолог стоит и смотрит.",69,381,9575.0,Нарьян_ВШЭ
35399,"Есть идиома, русская литература построена на страдании, страдает либо читатель, либо автор, либо герой. Я думаю наша система образования устроена также, страдаю либо я, либо вы, либо предмет.",173,551,12523.0,Тутуров_ВШЭ
35396,*устный практикум корейского*- какое хобби у Путина?- поднимать страну с колен..,85,279,9318.0,Студент_ВШЭ
35395,"С: В статье был кейс про суициды…П: Не спешите, мы дойдём до суицидов.С: А может не надо? Мы и так уже в Вышке…",101,323,9925.0,Панова_ВШЭ
35345,"Я считаю, это дискриминация, что преподаватель должен сидеть с включённой камерой, а студенты - нет. Я, может, тоже хочу во время пары лежать на диване, а не могу.",104,519,14777.0,Надеждина_ВШЭ
35319,"- Блин, маска порвалась… То ли рожа растет, то ли маски маленькие стали.",45,215,8070.0,Соколов_ВШЭ
35309,"Кто уснул, пожалуйста, проснитесь. ",35,255,7365.0,Гурьянов_ВШЭ
35303,Прямая - это окружность с радиусом равным бесконечности.,72,251,8941.0,Вереземскаян_ВШЭ
35294,"- Во всей Европе шла Вторая Мировая, а в Швейцарии шёл курс общей лингвистики.",47,311,8394.0,Поселягин_ВШЭ
35250,*открывает презу*Играл со шрифтами и проиграл.,49,306,7793.0,Бабин_ВШЭ
35247,"Юристом можешь и не быть, но вот английский знать обязан!",35,208,7602.0,Михайлов_ВШЭ
35240,"Мы исследовательский вуз, мы исследуем, и в этом заключается часть нашего исследования.",27,221,7214.0,Михайлов_ВШЭ
35235,"Вот мы удивлялись, как люди привыкали к войне. А как люди привыкли к пандемии? Первые полгода было страшно, а потом уже нормально. Вот так же и на войне. «Ну долбануло, ну не по мне же долбануло». ",60,216,6923.0,Кутырев_ВШЭ
35229,"Коллеги, всё понятно? Вижу, в чате пишут, что понятно. Надеюсь, люди, которым что-то не понятно, не молчат. Я недавно прошла курс по python и была в роли ничего не понимающего человека, теперь понимаю, каково таким людям.",43,229,7971.0,Нефёдова_ВШЭ
35208,"Если бы я был рыцарем, на щите у меня было бы написано «Все сложно».",41,263,8152.0,Файер_ВШЭ
35191,"Мы сейчас с вами проходим всё постепенно, как в первом классе: сначала палочки, потом числа, затем интегралы.",54,278,9610.0,Ерохина_ВШЭ
35130,"Я не утверждаю, что банкротное право интереснее, чем секс.",177,408,12229.0,Зайцев_ВШЭ
35099,В интернете я веду себя совсем не как типичная женщина 39 лет: я киберпанк и обожаю шутеры. Я совсем не похожа на мать девочки 11 лет.,47,258,10395.0,Захарова_ВШЭ
35095,Я немецкий язык плохо знаю... точнее не знаю.,31,213,9451.0,Широков_ВШЭ
35076,"У верблюда два горба, потому что жизнь - борьба.",64,334,11905.0,Нагих_ВШЭ
34964,Главная цель любой женщины – сделать из мужчины человека.,306,576,19321.0,Баукин_ВШЭ
34954,"С: Родион, Юрьевич, а вы наши эссе на экзамене сразу читать и проверять будете?П: Да, я читаю вслух, а вы в этот момент ходите на четвереньках.",69,304,14841.0,Белькович_ВШЭ
